category,type,resolution,channels,train,test_normal,test_anomalous,defect_types,total,pct_anomalous_in_test,median_defect_area_pct,min_defect_area_pct,max_defect_area_pct
hazelnut,object,1024x1024,3,391,40,70,4,501,63.6,1.616,0.233,27.659
screw,object,1024x1024,1,320,41,119,5,480,74.4,0.288,0.099,1.011
pill,object,800x800,3,267,26,141,7,434,84.4,1.033,0.05,41.004
carpet,texture,1024x1024,3,280,28,89,5,397,76.1,1.476,0.165,8.017
zipper,object,1024x1024,1,240,32,119,7,391,78.8,2.354,0.159,11.831
cable,object,1024x1024,3,224,58,92,8,374,61.3,3.681,0.144,22.581
leather,texture,1024x1024,3,245,32,92,5,369,74.2,0.462,0.089,6.859
capsule,object,1000x1000,3,219,23,109,5,351,82.6,0.43,0.037,8.079
tile,texture,840x840,3,230,33,84,5,347,71.8,7.93,0.842,35.487
grid,texture,1024x1024,1,264,21,57,5,342,73.1,0.601,0.188,3.582
metal_nut,object,700x700,3,220,22,93,4,335,80.9,3.671,0.436,48.725
wood,texture,1024x1024,3,247,19,60,5,326,75.9,2.895,0.263,41.269
transistor,object,1024x1024,3,213,60,40,4,313,40.0,2.028,0.224,49.321
bottle,object,900x900,3,209,20,63,3,292,75.9,5.718,0.576,27.419
toothbrush,object,1024x1024,3,60,12,30,1,102,71.4,1.078,0.238,12.976
