category,defect_type,n_images,median_area_pct,mean_regions
bottle,broken_small,22,2.437,1.182
bottle,contamination,21,7.248,1.048
bottle,broken_large,20,11.867,1.0
cable,cut_inner_insulation,14,3.098,1.429
cable,bent_wire,13,3.599,1.385
cable,cable_swap,12,5.818,1.0
cable,missing_cable,12,7.397,1.0
cable,combined,11,4.766,3.727
cable,cut_outer_insulation,10,1.255,1.7
cable,missing_wire,10,1.796,1.2
cable,poke_insulation,10,2.821,1.9
capsule,crack,23,0.304,1.0
capsule,scratch,23,0.635,1.174
capsule,faulty_imprint,22,0.278,1.0
capsule,poke,21,0.225,1.048
capsule,squeeze,20,2.758,1.0
carpet,color,19,1.571,1.158
carpet,thread,19,0.636,1.158
carpet,cut,17,4.346,1.059
carpet,hole,17,1.836,1.0
carpet,metal_contamination,17,0.39,1.059
grid,bent,12,0.986,3.0
grid,broken,12,0.508,2.833
grid,glue,11,0.489,1.273
grid,metal_contamination,11,0.405,2.455
grid,thread,11,1.581,5.364
hazelnut,crack,18,4.7,1.389
hazelnut,hole,18,1.236,1.278
hazelnut,cut,17,0.786,1.353
hazelnut,print,17,2.436,3.824
leather,color,19,0.248,1.105
leather,cut,19,0.379,1.053
leather,glue,19,0.673,1.211
leather,poke,18,0.227,1.0
leather,fold,17,1.677,1.0
metal_nut,bent,25,1.873,1.4
metal_nut,flip,23,48.173,1.0
metal_nut,scratch,23,5.537,1.913
metal_nut,color,22,2.09,1.364
pill,crack,26,0.671,1.038
pill,color,25,0.173,2.84
pill,scratch,24,1.166,1.042
pill,contamination,21,0.89,1.095
pill,faulty_imprint,19,2.292,1.053
pill,combined,17,1.488,4.118
pill,pill_type,9,40.871,1.0
screw,scratch_neck,25,0.305,1.16
screw,manipulated_front,24,0.299,1.083
screw,scratch_head,24,0.248,1.0
screw,thread_side,23,0.259,1.435
screw,thread_top,23,0.517,1.0
tile,glue_strip,18,9.154,1.0
tile,oil,18,14.037,1.0
tile,crack,17,2.098,1.0
tile,gray_stroke,16,4.244,1.0
tile,rough,15,12.365,1.133
toothbrush,defective,30,1.078,2.2
transistor,bent_lead,10,1.028,1.1
transistor,cut_lead,10,1.48,1.1
transistor,damaged_case,10,2.307,1.2
transistor,misplaced,10,40.455,1.0
wood,scratch,21,2.755,2.619
wood,combined,11,4.558,4.0
wood,hole,10,1.035,2.8
wood,liquid,10,4.793,2.1
wood,color,8,2.966,2.5
zipper,broken_teeth,19,1.504,1.421
zipper,split_teeth,18,3.067,1.0
zipper,fabric_border,17,1.844,1.824
zipper,rough,17,4.154,1.471
zipper,combined,16,3.406,2.188
zipper,fabric_interior,16,1.976,1.5
zipper,squeezed_teeth,16,1.481,1.062
